time,.Y,.X,.Theta
2021/07/20/11:59:50.401803,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.435231,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.468452,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.501841,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.535160,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.568394,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.602320,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.635097,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.668426,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.701788,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.734900,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.768335,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.801724,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.834951,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.868445,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.901714,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.934971,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:50.968358,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.001616,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.035039,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.068375,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.101644,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.134972,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.168372,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.201760,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.235037,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.268401,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.301749,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.335162,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.368530,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.401782,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.435260,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.468327,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.501663,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.535001,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.568271,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.601508,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.634926,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.668264,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.701628,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.735018,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.768412,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.801603,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.834883,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.868356,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.901634,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.935000,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:51.968296,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:52.001655,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:52.035016,2.04393815994,2.28306460381,-3.58541488647
2021/07/20/11:59:52.068362,2.04393815994,2.28306460381,-3.58541488647
